,in_conn_compound,in_conn_complex03,in_conn_complex05,in_conn_complex07
0,cc,cc,cc,cc
1,syn,syn,syn,syn
2,,ryu,ryu,ryu
3,jobserver,jobserver,jobserver,jobserver
4,,no-panic,no-panic,no-panic
5,,chrono,chrono,chrono
6,,url,url,url
7,log,log,log,log
8,,anyhow,anyhow,anyhow
9,libc,libc,libc,libc
10,,wasm-bindgen,wasm-bindgen,wasm-bindgen
11,,js-sys,js-sys,js-sys
12,,pure-rust-locales,pure-rust-locales,pure-rust-locales
13,,num-integer,num-integer,num-integer
14,,,afl,afl
15,,form_urlencoded,form_urlencoded,form_urlencoded
16,,h2,h2,h2
17,nom,nom,nom,nom
18,,idna,idna,idna
19,lazy_static,lazy_static,lazy_static,lazy_static
20,sval,sval,sval,sval
21,value-bag,value-bag,value-bag,value-bag
22,,backtrace,backtrace,backtrace
23,proc-macro2,proc-macro2,proc-macro2,proc-macro2
24,rustc-std-workspace-core,rustc-std-workspace-core,rustc-std-workspace-core,rustc-std-workspace-core
25,,tracing,tracing,tracing
26,quote,quote,quote,quote
27,,mio,mio,mio
28,,wasm-bindgen-macro,wasm-bindgen-macro,wasm-bindgen-macro
29,fnv,fnv,fnv,fnv
30,,sct,sct,sct
31,,,matches,matches
32,,,rustc_version,rustc_version
33,,,clap,clap
34,,,xdg,xdg
35,,async-trait,async-trait,async-trait
36,erased-serde,erased-serde,erased-serde,erased-serde
37,compiler_builtins,,compiler_builtins,compiler_builtins
38,minimal-lexical,,minimal-lexical,minimal-lexical
39,,hyper-rustls,hyper-rustls,hyper-rustls
40,semver,semver,semver,semver
41,ctor,,ctor,ctor
42,,dirs,dirs,dirs
43,,,unicode-bidi,unicode-bidi
44,,reqwest,reqwest,reqwest
45,unicode-xid,unicode-xid,unicode-xid,unicode-xid
46,,hex,hex,hex
47,sval_derive,,sval_derive,sval_derive
48,serde_fmt,,serde_fmt,serde_fmt
49,rustc-serialize,rustc-serialize,rustc-serialize,rustc-serialize
50,atty,atty,atty,atty
51,,rustls-native-certs,rustls-native-certs,rustls-native-certs
52,,,miniz_oxide,miniz_oxide
53,,,addr2line,addr2line
54,,,tracing-core,tracing-core
55,serde,serde,serde,serde
56,winapi,winapi,winapi,winapi
57,,async-compression,async-compression,async-compression
58,,arrayvec,arrayvec,arrayvec
59,,bincode,bincode,bincode
60,,,tracing-attributes,tracing-attributes
61,,,,indexmap
62,,ansi_term,ansi_term,ansi_term
63,termcolor,,,termcolor
64,,csv,csv,csv
65,,,ntapi,ntapi
66,,,,wasm-bindgen-macro-support
67,strsim,,,strsim
68,serde_derive,serde_derive,serde_derive,serde_derive
69,,,,unicase
70,,,,terminal_size
71,,,,yaml-rust
72,,rustls-pemfile,rustls-pemfile,rustls-pemfile
73,,,,clap_derive
74,,,,textwrap
75,,,,os_str_bytes
76,,,,bumpalo
77,,cookie_store,cookie_store,cookie_store
78,,ipnet,ipnet,ipnet
79,,trust-dns-resolver,trust-dns-resolver,trust-dns-resolver
80,,,,dirs-sys
81,arbitrary,arbitrary,arbitrary,arbitrary
82,,,aes,aes
83,,structopt,structopt,structopt
84,,,,flame
